name,year,headline,company,product,category,subject,publication,medium,format,link,description,location
These Men Know Something About Scrap!,1943,These Men Know Something About Scrap!,Felt & Tarrant Manufacturing Co.,Scrap metal,World War II (1942-1945),"Ethnic Groups, Asian, War, Conservation",Colliers,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4ns0mh6z,,
"These, too, are fighting flags of freedom...",1943,"These, too, are fighting flags of freedom...",RCA,"Army Navy ""E""",World War II (1942-1945),"War, Awards",Daily News,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4qb9vr6j,,
Third Award To McCord,1943,Third Award To McCord,McCord Radiator & MFG. Co.,"Navy ""E"", second Army Navy ""E"" star",World War II (1942-1945),"War, Awards",New York Times,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4qv3cp6r,,
This - But For One Thing - Could Be Your Wife,1943,This - But For One Thing - Could Be Your Wife,Stewart-Warner Corporation,War bonds,World War II (1942-1945),"Children, War, War Bonds",Colliers,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4pg1j745,,
This Christmas - GIVE WAR BONDS,1943,This Christmas - GIVE WAR BONDS,General Tire & Rubber Company,War bonds,World War II (1942-1945),"War, War Bonds",Colliers,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r45718739,,
This Ones Going To Hurt!,1943,This Ones Going To Hurt!,U. S. Treasury Dept.,3rd War Loan Drive,World War II (1942-1945),"Military, War, War Bonds",Vogue,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r41j97t6v,,
"This Reminds Me- Have You Heard The Deep, Mellow Tone of Recordio Lately?",1943,"This Reminds Me- Have You Heard The Deep, Mellow Tone of Recordio Lately?",Wilcox-Gay,Recordio,Radio (1922-1956),"Military, Illustration, Cartoons, War, Electronics",Better Homes and Gardens,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4736mk32,,
This Years Bonds Are To Win!,1943,This Years Bonds Are To Win!,U. S. Government,War bonds,World War II (1942-1945),"War, War Bonds",Mountain States Banker,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4f18t10v,,
This banner shall be star-spangled!,1943,This banner shall be star-spangled!,"E.H. Scott Radio Laboratories, Inc.","Marine Model, Radio",Radio (1922-1956),"Radio, War",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4ms3kj4v,,
This is the reason they called the tube Klystron,1943,This is the reason they called the tube Klystron,"Sperry Gyroscope Company, Inc.",Klystron tube,Radio (1922-1956),"War, Electronics",Southern Flight,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r44b2xn82,,
Through Plane Service To Phoenix,1943,Through Plane Service To Phoenix,"Transcontinental & Western Air, Inc.",Phoenix,Transportation (1938-1957),"Transportation & Travel, Airlines",New York Herald Tribune,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4wh2dz8f,,
Thunder Before Dawn,1943,Thunder Before Dawn,Chicago and Southern Air Lines,War Support,Transportation (1938-1957),"Transportation & Travel, Airlines",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4vq2st9f,,
Tin Is Saved Now In The Making Of Tin Cans,1943,Tin Is Saved Now In The Making Of Tin Cans,U. S. Government,Tin Cans,World War II (1942-1945),"Military, War, Conservation",Minneapolis Star Journal,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4wd3qm62,,
To Ellen - with Love!,1943,To Ellen - with Love!,Bourjois,Evening in Paris Cosmetics,Beauty and Hygiene (1911-1956),"Military, Cosmetics",Good Housekeeping,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4f18t247,,
To Hit Em Harder Weve all got to Raise our Sights,1943,To Hit Em Harder Weve all got to Raise our Sights,U. S. Government,War bonds,World War II (1942-1945),"War, War Bonds",Hotel Gazette,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r45h7cd3t,,
To Make The Fuehrer Furious,1943,To Make The Fuehrer Furious,"Thos. Leeming & Co., Inc.",War bonds,World War II (1942-1945),"War, War Bonds",New York Times,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4bg2hw2k,,
To Meet War Needs,1943,To Meet War Needs,Trans-Canada Air Lines,New York-Toronto,Transportation (1938-1957),"Transportation & Travel, Airlines",New York Times,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4js9hs1c,,
To Norwich War-Time Workers for Excellence!,1943,To Norwich War-Time Workers for Excellence!,Norwich Pharmacal Co.,"Army Navy ""E""",World War II (1942-1945),"War, Awards",N.A.R.D. Journal,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r49w09j6m,,
To Preserve The Four Freedoms,1943,To Preserve The Four Freedoms,Hallicrafters,"Army Navy ""E""",World War II (1942-1945),"War, Awards",Broadcasting,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4bg2hw32,,
"To the finicky ears of a flautist, the Scotts reproduction of his beloved instrument is an ever-recurring marvel!",1943,"To the finicky ears of a flautist, the Scotts reproduction of his beloved instrument is an ever-recurring marvel!","E. H. Scott Radio Laboratories, Inc.",Radio,Radio (1922-1956),"Radio, Scott",New Yorker,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4cn6zg43,,
To the girl with a soldier overseas... How much do you really want him back?,1943,To the girl with a soldier overseas... How much do you really want him back?,U. S. Government,War bonds,World War II (1942-1945),"Military, War, War Bonds",Glamour,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r47p8tz8h,,
"Today Your purchase of War Bonds not only assures your countrys liberty, but insures your future personal liberties.",1943,"Today Your purchase of War Bonds not only assures your countrys liberty, but insures your future personal liberties.",I. Magnin and Co.,War bonds,World War II (1942-1945),"Famous People, War, War Bonds, Statue of Liberty",Los Angeles Times,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4x05xz3h,,
Tomorrows Headline Is In Your Hands!,1943,Tomorrows Headline Is In Your Hands!,Franklin Simon,War bonds,World War II (1942-1945),"War, War Bonds",Herald Tribune,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4f766s6g,,
Tomorrows Race Against Time wont be a foot race...,1943,Tomorrows Race Against Time wont be a foot race...,Automatic Electric Sales Corporation,P-A-X automatic interior telephones,Radio (1922-1956),"War, Electronics",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r40k26v3t,,
Tomorrows Radio Television Phonograph,1943,Tomorrows Radio Television Phonograph,Admiral Radio,Radio,Radio (1922-1956),"Radio Programs, Radio, Admiral Radio, World News Today, Columbia Net",Colliers,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r49z90v3k,,
Tomorrows Radio and Television,1943,Tomorrows Radio and Television,Admiral Radio,Radio,Radio (1922-1956),"Children, Radio, Admiral Radio",Colliers,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r46970f10,,
"Tomorrow, youll broadcast magic!",1943,"Tomorrow, youll broadcast magic!",Farnsworth Television and Radio Corporation,Television,Television (1939-1957),"Farnsworth, Television",Broadcasting,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r46q1t47n,,
"Tonight! Help remove Your faded Unlovely ""Top-Skin""",1943,"Tonight! Help remove Your faded Unlovely ""Top-Skin""",Edna Wallace Hopper,White Clay Pack,Beauty and Hygiene (1911-1956),Cosmetics,Life,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4bc3tj06,,
U. S. preparing to bomb Tokyo again,1943,U. S. preparing to bomb Tokyo again,L. Bamberger & Co.,War bonds,World War II (1942-1945),"Military, War, War Bonds",Newark Evening News,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4t43jn62,,
U.S. Needs US Strong,1943,U.S. Needs US Strong,U. S. Government,Food,World War II (1942-1945),"Famous People, War, Uncle Sam, Conservation",American Weekly,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r41r6nk73,,
United Mainliners now fly direct to Washington 3.5 hrs.,1943,United Mainliners now fly direct to Washington 3.5 hrs.,United Air Lines,Washington,Transportation (1938-1957),"Transportation & Travel, Airlines",Chicago Daily News,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4pv6br7j,,
Vision of Delight,1943,Vision of Delight,"Yardley of London, Inc.",Bond Street Beauty Preparations,Beauty and Hygiene (1911-1956),Cosmetics,McCalls,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4xg9fz2k,,
Visit Munich,1943,Visit Munich,War Production Board,Cooking Grease,World War II (1942-1945),"War, Conservation",Newark Evening News,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r47h1f639,,
Voice With a Thousand Tongues,1943,Voice With a Thousand Tongues,"Remler Company, Limited",Loudspeaker Systems,Radio (1922-1956),"Military, War, Electronics",Pacific Marine Review,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4kd1r328,,
Voices for Victory!,1943,Voices for Victory!,Western Electric,War Jobs,Radio (1922-1956),"Radio, War",Newark Evening News,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r49k46974,,
WARTIME AIR SERVICE... TO CHICAGO AND SOUTH TEXAS,1943,WARTIME AIR SERVICE... TO CHICAGO AND SOUTH TEXAS,Braniff Airways,Wartime Schedules,Transportation (1938-1957),"Transportation & Travel, Airlines",Dallas News,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4930pc41,,
WHY RAVISHINGLY BEAUTIFUL Powers Models ARE ADVISED TO USE ONLY KREML SHAMPOO,1943,WHY RAVISHINGLY BEAUTIFUL Powers Models ARE ADVISED TO USE ONLY KREML SHAMPOO,Kreml,Shampoo,Beauty and Hygiene (1911-1956),"Famous People, Hair Preparations, John Robert Powers",Ladies Home Journal,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4td9nv23,,
War bonds are nest eggs that hatch dreams like this,1943,War bonds are nest eggs that hatch dreams like this,U. S. Government,War bonds,World War II (1942-1945),"War, War Bonds",Family Circle,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4v40kj69,,
War duties lead many women to use Tampax,1943,War duties lead many women to use Tampax,Tampax Inc.,Tampons,Beauty and Hygiene (1911-1956),Feminine Hygiene,Parade,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4vt1h90q,,
Warning:,1943,Warning:,U. S. Government,War bonds,World War II (1942-1945),"War, War Bonds",American,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r43x84564,,
Waste Paper,1943,Waste Paper,War Production Board,Waste Paper,World War II (1942-1945),"War, Conservation",New York Times,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r44x5526c,,
"We Men and Women of Gillette Are Proud of Our Army-Navy ""E""",1943,"We Men and Women of Gillette Are Proud of Our Army-Navy ""E""",Gillette Safety Razor Company,"Army Navy ""E""",World War II (1942-1945),"War, Awards",New York Times,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4zw19c2q,,
"Were Mighty Proud, Uncle Sam...",1943,"Were Mighty Proud, Uncle Sam...",National Supply Company,"Army Navy ""E""",World War II (1942-1945),"War, Awards",New York Times,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4v40kj88,,
"Weve Worked Together To Win This ""E""",1943,"Weve Worked Together To Win This ""E""",Detroit Broach Co.,"Army Navy ""E""",World War II (1942-1945),"War, Awards",New York Times,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4vx06p2j,,
"We, who are not about to die...",1943,"We, who are not about to die...",Dept. of Treasury,War bonds,World War II (1942-1945),"War, War Bonds",Life,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4jq0tf01,,
Weapons against inflation,1943,Weapons against inflation,Carteret Savings and Loan Association,Anti-inflation,World War II (1942-1945),"War, Anti-inflation",Newark News,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4cv4cb4k,,
Western Electric,1943,Western Electric,Western Electric,Corporate advertising,Radio (1922-1956),"Military, Illustration, War, Electronics, No. 4 of a series, Battleship",Look,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4125qs8t,,
Western Electric,1943,Western Electric,Western Electric,Corporate advertising,Radio (1922-1956),"Military, Illustration, War, Electronics, No. 3 of a series, Armored Force",Colliers,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4sj1b819,,
Western Electric,1943,Western Electric,Western Electric,Telephone service,Radio (1922-1956),"Military, Western Electric, Telephone",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4445hw1x,,
Western Electric,1943,Western Electric,Western Electric,Corporate advertising,Radio (1922-1956),"Military, Illustration, Western Electric, Telephone, No. 9 of a series, Airplane Spotter",Saturday Evening Post,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r48k75d6d,,
Western Electric,1943,Western Electric,Western Electric,Corporate advertising,Radio (1922-1956),"Military, Illustration, War, Electronics, No. 2 of a series, Submarine",Colliers,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4j38m16w,,
Western Electric,1943,Western Electric,Western Electric,Corporate advertising,Radio (1922-1956),"Military, Illustration, War, Electronics, No. 6 of a series, Coast Guard",Saturday Evening Post,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4x92223g,,
Western Electric,1943,Western Electric,Western Electric,Telephone service,Radio (1922-1956),"Military, Western Electric, Telephone",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4hd7p94r,,
Western Electric,1943,Western Electric,Western Electric,Corporate advertising,Radio (1922-1956),"Military, Illustration, War, Electronics, No. 7 of a series, Air Forces",Life,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r44t6fm28,,
Western Electric,1943,Western Electric,Western Electric,Corporate advertising,Radio (1922-1956),"Military, Illustration, Western Electric, Telephone, No. 8 of a series, Signal Corps",Look,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4db7w72r,,
Westinghouse research accepts every wartime challenge...,1943,Westinghouse research accepts every wartime challenge...,Westinghouse Electric & Manufacturing Company,Various,Radio (1922-1956),"Children, War, Electronics",Saturday Evening Post,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4q23rh26,,
What Goes On Under a Nazi Pilots Cap?,1943,What Goes On Under a Nazi Pilots Cap?,Westinghouse Electric & Manufacturing Company,Radar,Radio (1922-1956),"Military, War, Electronics",Science,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r47s7j90g,,
What Has Become Of The Stratoliners?,1943,What Has Become Of The Stratoliners?,"Transcontinental & Western Air, Inc.",War Support,Transportation (1938-1957),"Military, Transportation & Travel, Airlines",U.S. News,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4m61c76p,,
What Ruth Learned At College,1943,What Ruth Learned At College,Tampax Inc.,Tampons,Beauty and Hygiene (1911-1956),"Premiums, Feminine Hygiene",Farm Journal,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4g15tx15,,
What did you do today for your country?,1943,What did you do today for your country?,U. S. Government,War bonds,World War II (1942-1945),"War, War Bonds",Minneapolis Star Journal,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4z31p77z,,
What goes on under a Nazi pilots cap?,1943,What goes on under a Nazi pilots cap?,Westinghouse Electric & Manufacturing Company,Various,Radio (1922-1956),"Military, War, Electronics",Life,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4736mj9h,,
What has become of the Stratoliners?,1943,What has become of the Stratoliners?,"Transcontinental & Western Air, Inc.","Transcontinental & Western Air, Inc.",Transportation (1938-1957),"Transportation & Travel, Airlines",Esquire,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4d795v8r,,
What is Electronics?,1943,What is Electronics?,"Allen B. DuMont Laboratories, Inc.",DuMont Electronics and Televisions,Television (1939-1957),"Miscellaneous, Television",New York Times Magazine,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4nk36s8m,,
What to do with a Victory Garden,1943,What to do with a Victory Garden,Pepsodent Company,"tooth paste, tooth powder",Beauty and Hygiene (1911-1956),"Testimonial, Bob Hope, Dental Supplies",Redbook,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4028q14v,,
Whats the word you think most of at Christmas?,1943,Whats the word you think most of at Christmas?,"U. S. Treas. Dept., War Advertising Council",War bonds,World War II (1942-1945),"War, War Bonds",Family Circle,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r47d2qs80,,
When you gotta go... you gotta go!,1943,When you gotta go... you gotta go!,Cannon Electric Development Company,Cannon Connector,Radio (1922-1956),"War, Electronics",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4zk5642r,,
Where Theyre Made- Where Theyre Fired: P-A-X Speeds Action!,1943,Where Theyre Made- Where Theyre Fired: P-A-X Speeds Action!,American Automatic Electric Sales Company,P-A-X automatic telephones,Radio (1922-1956),"Military, War, Electronics",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4gm8258k,,
Wheres Bob? He was here a minute ago!,1943,Wheres Bob? He was here a minute ago!,Stewart-Warner Corporation,War bonds,World War II (1942-1945),"Military, War, War Bonds",Saturday Evening Post,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4nk36r09,,
Whos afraid of Birthday Candles?,1943,Whos afraid of Birthday Candles?,Procter & Gamble Co.,Ivory Soap,Beauty and Hygiene (1911-1956),Soaps,Sunday News,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r48c9rq84,,
Whose Ocean?,1943,Whose Ocean?,U. S. Government,War bonds,World War II (1942-1945),"Children, War, War Bonds",Vogue,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4fx74j0w,,
Why Should I Give To The National War Fund?,1943,Why Should I Give To The National War Fund?,New York Committee National War Fund,National War Fund,World War II (1942-1945),"War, War Bonds",New York Herald Tribune,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r40k26x1r,,
Why You Shouldnt Keep Used Fats in Glass,1943,Why You Shouldnt Keep Used Fats in Glass,War Production Board,Cooking Fats,World War II (1942-1945),"War, Conservation",Times,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4ht2gx4k,,
Why let Dry Fading Scarf-Skin make you look older than you are,1943,Why let Dry Fading Scarf-Skin make you look older than you are,Edna Wallace Hopper,Dry Skin Cream,Beauty and Hygiene (1911-1956),Cosmetics,Look,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4qj78j83,,
Will D. Root... The Philosophizing Pharmacist,1943,Will D. Root... The Philosophizing Pharmacist,"Wildroot Company, Inc.",Wildroot Cream-Oil,Beauty and Hygiene (1911-1956),"Illustration, Hair Preparations, Cartoons",Mood,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4qv3cq47,,
Will Opti-Onics give Johnny a 4-tube notebook?,1943,Will Opti-Onics give Johnny a 4-tube notebook?,Bell & Howell Company,Opti-Onics,Radio (1922-1956),"Children, Miscellaneous, Electronics",Colliers,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4h41k466,,
Will You Help Him Come Back - Alive?,1943,Will You Help Him Come Back - Alive?,U. S. Government,War bonds,World War II (1942-1945),"Military, War, War Bonds",Redbook,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4pr7nd36,,
Wired for Sound with a Motorola Radio,1943,Wired for Sound with a Motorola Radio,Galvin Manufacturing Corporation,Auto Radios,Radio (1922-1956),"Radio, Motorola",Saturday Evening Post,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4jd4q59z,,
With Flying Colors!,1943,With Flying Colors!,Bausch and Lomb,"Army Navy ""E"",Service Flag,Navy ""E"",Treasury Flag",World War II (1942-1945),"War, Awards",Science,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4736mn2g,,
Women at War! Pay Attention to Tampax,1943,Women at War! Pay Attention to Tampax,Tampax Inc.,Tampons,Beauty and Hygiene (1911-1956),Feminine Hygiene,Look,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4hx1698s,,
Words Wont Stop The Enemy!,1943,Words Wont Stop The Enemy!,"Stanco Inc., makers of Nujol",War bonds,World War II (1942-1945),"Military, War, War Bonds",Good Housekeeping,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4kk94x9q,,
Would you like to own this sailboat?,1943,Would you like to own this sailboat?,makers of Sani-Flush and Melo,War bonds,World War II (1942-1945),"War, War Bonds",Life,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4b56dq2h,,
YOUR appearance depends upon the care you give your HAIR,1943,YOUR appearance depends upon the care you give your HAIR,Jeris,hair tonic,Beauty and Hygiene (1911-1956),Hair Preparations,Look,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4bg2hx02,,
"Yes Sir! This Was An Electronic Instrument, Too!",1943,"Yes Sir! This Was An Electronic Instrument, Too!",Motorola Inc.,Motorola radios,Radio (1922-1956),"Radio, Miscellaneous",Life,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4hq3sg3b,,
You Are Making a Substantial Contribution Toward Our Ultimate Triumph Over the Enemies.,1943,You Are Making a Substantial Contribution Toward Our Ultimate Triumph Over the Enemies.,"E. H. Scott Radio Laboratories, Inc.",Radio,Radio (1922-1956),"Military, Radio, Scott",Time,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r44t6fk6r,,
You Can Put A Nazi Out Of The War!,1943,You Can Put A Nazi Out Of The War!,Beech-Nut Packing Company,War bonds,World War II (1942-1945),"Military, War, War Bonds",New York Times,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4cr5nz2b,,
You Could Be Shot For Wasting Paper,1943,You Could Be Shot For Wasting Paper,U. S. Government,Waste Paper,World War II (1942-1945),"War, Conservation",New York Sun,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4154f812,,
You can share in a tank attack,1943,You can share in a tank attack,Electric Storage Battery Co. (Exide Batteries),War bonds,World War II (1942-1945),"Military, War, War Bonds",Colliers,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4c24r69t,,
"Youre Their ""Uncle Sam""",1943,"Youre Their ""Uncle Sam""",Seven-Up Co.,War bonds,World War II (1942-1945),"Children, War, War Bonds",Saturday Evening Post,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4qb9vr33,,
Your Bond Purchase Makes these Nazis Shiver,1943,Your Bond Purchase Makes these Nazis Shiver,U. S. Government,War bonds,World War II (1942-1945),"War, War Bonds",Parade,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4b85436q,,
Your U. S. War Bonds pave the way for new Invasion Beach-Heads,1943,Your U. S. War Bonds pave the way for new Invasion Beach-Heads,American Seating Company,War bonds,World War II (1942-1945),"Military, War, War Bonds",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4h708k7f,,
Your Waste Paper Needed To Make Shell Containers,1943,Your Waste Paper Needed To Make Shell Containers,Waste Paper Collectors,Waste Paper,World War II (1942-1945),"Military, War, Conservation",Herald Tribune,newspapers,advertisements,https://idn.duke.edu/ark:/87924/r4wh2f07t,,
Your make-up begins with your hair,1943,Your make-up begins with your hair,Paragon Distributing Corporation,Eternol Tint Oil Shampoo,Beauty and Hygiene (1911-1956),Hair Preparations,Harpers Bazaar,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4jw87721,,
Your plane will have a phone!,1943,Your plane will have a phone!,Jefferson-Travis Radio Manufacturing Corporation,Radiotelephones,Radio (1922-1956),"Children, War, Electronics",Time,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r40c4t282,,
electronics at work,1943,electronics at work,Westinghouse Electric & Manufacturing Company,Various,Radio (1922-1956),"Military, War, Electronics",Fortune,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4tt4g961,,
"electronics at work, airships from sea water",1943,"electronics at work, airships from sea water",Westinghouse Electric & Manufacturing Company,Corporation,Radio (1922-1956),"Military, War, Electronics",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4fj29w55,,
"electronics at work, blackout by radio",1943,"electronics at work, blackout by radio",Westinghouse Electric & Manufacturing Company,Corporation,Radio (1922-1956),"Military, War, Electronics",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r48s4k60q,,
"electronics at work, protecting vital power lines",1943,"electronics at work, protecting vital power lines",Westinghouse Electric & Manufacturing Company,Corporation,Radio (1922-1956),"War, Electronics",Time,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4j960s92,,
"electronics at work, where metal shivers to death",1943,"electronics at work, where metal shivers to death",Westinghouse Electric & Manufacturing Company,Corporation,Radio (1922-1956),"Military, War, Electronics",Newsweek,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4p26qm3f,,
"electronics, Yes Sir... This Was An Electronic Instrument Too...",1943,"electronics, Yes Sir... This Was An Electronic Instrument Too...",Motorola Inc.,Radio,Radio (1922-1956),"Military, Radio, War",Newark Evening News,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4k06xh9v,,
radar eyes... that see thru clouds,1943,radar eyes... that see thru clouds,Continental Radio and Television Corporation,Radio,Radio (1922-1956),"Military, Radio Programs, Radio, War, Admiral ""World News Today""",Colliers,magazines (periodicals),"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r4z02zs2c,,
"""...That These Dead Shall Not Have Died In Vain...""",1944,"""...That These Dead Shall Not Have Died In Vain...""",United Fruit Company,War bonds,World War II (1942-1945),"Military, War, War Bonds",New York Times,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r43n2106m,,
"""...a necessity for well-groomed Men and Women,"" says Gypsy Rose Lee",1944,"""...a necessity for well-groomed Men and Women,"" says Gypsy Rose Lee",Arrid,Arrid Cream Deodorant,Beauty and Hygiene (1911-1956),"Testimonial, Deodorant, Gypsy Rose Lee",Esquire,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r46t0hh80,,
"""...beyond the call of duty...""",1944,"""...beyond the call of duty...""",Aluminum Company of America,5th War Loan,World War II (1942-1945),"Children, War, War Bonds",Chicago Daily News,newspapers,"advertisements, drawings (visual works)",https://idn.duke.edu/ark:/87924/r48w38n4d,,
"""8 out of 10"" know a secret- do you?",1944,"""8 out of 10"" know a secret- do you?",Johnson & Johnson,Modess Sanitary Napkins,Beauty and Hygiene (1911-1956),"Children, Sports, Feminine Hygiene",Womans Home Companion,magazines (periodicals),advertisements,https://idn.duke.edu/ark:/87924/r4bg2hw70,,
